full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Khufu;Male;-2600;Other;Unknown;;Politician;Government;Institutions;52;3397134;65330;282.012
Thucydides;Male;-460;Alimos;Greece;Europe;Historian;History;Humanities;71;4063157;57228;28.199
Gottfried Wilhelm von Leibniz;Male;1646;Leipzig;Germany;Europe;Mathematician;Math;Science & Technology;106;7295094;68822;281.935
Tacitus;Male;56;Gaul;France;Europe;Historian;History;Humanities;67;4359911;65073;281.906
John Calvin;Male;1509;Noyon;France;Europe;Religious Figure;Religion;Institutions;79;9406706;119072;28.177
Walt Disney;Male;1901;Chicago;United States;North America;Producer;Business;Business & Law;113;33332870;294981;281.723
Thomas More;Male;1478;London;United Kingdom;Europe;Philosopher;Philosophy;Humanities;69;11761778;170461;281.615
Le Corbusier;Male;1887;La Chaux-de-Fonds;Switzerland;Europe;Architect;Design;Arts;107;13401962;125252;281.602
Vespasian;Male;9;Falacrinae;Italy;Europe;Politician;Government;Institutions;69;4020556;58269;281.584
Jean-Paul Sartre;Male;1905;Paris;France;Europe;Writer;Language;Humanities;106;19009595;179336;281.531
Johannes Kepler;Male;1571;Weil der Stadt;Germany;Europe;Astronomer;Natural Sciences;Science & Technology;105;12480204;118859;281.457
Aleksandr Pushkin;Male;1799;Moscow;Russia;Europe;Writer;Language;Humanities;116;6788172;58519;281.305
Anaximander;Male;-610;Miletus;Turkey;Asia;Philosopher;Philosophy;Humanities;70;4275744;61082;281.212
Desiderius Erasmus;Male;1466;Rotterdam;Netherlands;Europe;Philosopher;Philosophy;Humanities;69;8517572;123443;281.211
Suleiman the Magnificent;Male;1494;Trabzon;Turkey;Asia;Politician;Government;Institutions;87;20448629;235042;281.209
Winston Churchill;Male;1874;Blenheim Palace;United Kingdom;Europe;Politician;Government;Institutions;114;32842779;288095;281.069
Nebuchadrezzar II;Male;-634;Other;Iraq;Asia;Politician;Government;Institutions;57;5540287;97198;280.941
Parmenides;Male;-510;Velia;Italy;Europe;Philosopher;Philosophy;Humanities;58;4554554;78527;280.922
Johannes Vermeer;Male;1632;Delft;Netherlands;Europe;Painter;Fine Arts;Arts;74;9648252;130382;280.899
Ali;Male;598;Kaaba;Saudi Arabia;Asia;Religious Figure;Religion;Institutions;84;9632569;114673;280.897
James Cook;Male;1728;Marton;United Kingdom;Europe;Explorer;Explorers;Exploration;115;11738304;102072;280.893
Benjamin Franklin;Male;1706;Boston;United States;North America;Politician;Government;Institutions;88;29472054;334910;280.867
Edgar Allan Poe;Male;1809;Boston;United States;North America;Writer;Language;Humanities;99;33748011;340889;280.844
Joseph Haydn;Male;1732;Rohrau;Austria;Europe;Composer;Music;Arts;83;11122433;134005;280.808
Honoré de Balzac;Male;1799;Tours;France;Europe;Writer;Language;Humanities;82;9787362;119358;280.715
Li Bai;Male;701;Suyab;China;Asia;Writer;Language;Humanities;102;2893988;28372;280.664
Giotto di Bondone;Male;1267;Florence;Italy;Europe;Artist;Fine Arts;Arts;68;5544452;81536;280.579
George Washington;Male;1732;Westmoreland County;United States;North America;Politician;Government;Institutions;134;34838477;259989;28.046
Donatello;Male;1386;Florence;Italy;Europe;Painter;Fine Arts;Arts;79;6995725;88553;280.258
Thomas Edison;Male;1847;Milan;United States;North America;Inventor;Invention;Science & Technology;126;38631687;306601;280.222
Galen;Male;130;Pergamon;Turkey;Asia;Physician;Medicine;Science & Technology;73;4392712;60174;28.019
Titian;Male;1485;Pieve di Cadore;Italy;Europe;Painter;Fine Arts;Arts;67;7560886;112849;280.174
Baruch Spinoza;Male;1632;Amsterdam;Netherlands;Europe;Philosopher;Philosophy;Humanities;84;8686774;103414;280.143
Francis of Assisi;Male;1182;Assisi;Italy;Europe;Philosopher;Philosophy;Humanities;77;18323088;237962;279.971
James Watt;Male;1736;Greenock;United Kingdom;Europe;Inventor;Invention;Science & Technology;102;8142107;79825;279.914
Timur;Male;1336;Transoxiana;Uzbekistan;Asia;Military Personnel;Military;Institutions;94;7532855;80137;279.771
Claudius;Male;-10;Lyon;France;Europe;Politician;Government;Institutions;71;5783578;81459;279.662
Sima Qian;Male;-139;Hancheng;China;Asia;Historian;History;Humanities;82;1695804;20681;279.578
Anton Chekhov;Male;1860;Taganrog;Russia;Europe;Writer;Language;Humanities;110;9327460;84795;279.551
Protagoras;Male;-490;Abdera;Greece;Europe;Philosopher;Philosophy;Humanities;49;3011833;61466;279.427
Hernán Cortés;Male;1485;Medellín;Spain;Europe;Explorer;Explorers;Exploration;106;12277143;115822;279.426
Nicolaus Copernicus;Male;1473;Toruń;Poland;Europe;Astronomer;Natural Sciences;Science & Technology;128;32512598;254005;279.412
