full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Anaximenes of Miletus;Male;-585;Miletus;Turkey;Asia;Philosopher;Philosophy;Humanities;62;2846623;45913;273.673
Hugh Capet of France;Male;940;Paris;France;Europe;Politician;Government;Institutions;54;2543429;47101;273.659
Arthur Rimbaud;Male;1854;Charleville-Mézières;France;Europe;Writer;Language;Humanities;72;9619541;133605;273.636
Vitellius;Male;24;Other;Unknown;;Politician;Government;Institutions;57;1391095;24405;273.623
Francisco Pizarro;Male;1471;Trujillo;Spain;Europe;Explorer;Explorers;Exploration;67;7238953;108044;273.612
Nikola Tesla;Male;1856;Smiljan;Croatia;Europe;Inventor;Invention;Science & Technology;111;42369769;381710;273.472
Alessandro Volta;Male;1745;Como;Italy;Europe;Physicist;Natural Sciences;Science & Technology;73;6799961;93150;273.457
Benedict of Nursia;Male;480;Norcia;Italy;Europe;Religious Figure;Religion;Institutions;60;4045453;67424;273.431
Galba;Male;-3;Terracina;Italy;Europe;Politician;Government;Institutions;56;1700135;30360;273.398
Pierre Abélard;Male;1079;Le Pallet;France;Europe;Philosopher;Philosophy;Humanities;60;2504783;41746;273.335
Mikhail Gorbachev;Male;1931;Stavropol;Russia;Europe;Politician;Government;Institutions;100;16776035;167760;273.263
Oda Nobunaga;Male;1534;Nagoya;Japan;Asia;Military Personnel;Military;Institutions;49;15338264;313026;273.249
Odoacer;Male;435;Pannonia;Hungary;Europe;Politician;Government;Institutions;46;2551659;55471;273.245
Jerome;Male;347;Štrigova;Croatia;Europe;Religious Figure;Religion;Institutions;57;3470125;60879;273.243
Gian Lorenzo Bernini;Male;1598;Naples;Italy;Europe;Architect;Design;Arts;55;5977884;108689;27.324
Édith Piaf;Female;1915;Paris;France;Europe;Singer;Music;Arts;91;17576513;193148;27.32
Elizabeth II of the United Kingdom;Female;1926;London;United Kingdom;Europe;Nobleman;Government;Institutions;127;54551771;429542;273.167
Max Planck;Male;1858;Kiel;Germany;Europe;Physicist;Natural Sciences;Science & Technology;103;6995718;67920;27.315
William Blake;Male;1757;Soho;United Kingdom;Europe;Writer;Language;Humanities;72;11533689;160190;273.134
Johnny Cash;Male;1932;Kingsland;United States;North America;Singer;Music;Arts;72;32337297;449129;273.109
Ingmar Bergman;Male;1918;Uppsala;Sweden;Europe;Film Director;Film And Theatre;Arts;96;7656977;79760;273.055
Suetonius;Male;70;Rome;Italy;Europe;Historian;History;Humanities;52;1823644;35070;27.304
Leon Trotsky;Male;1879;Yelizavetgrad;Ukraine;Europe;Politician;Government;Institutions;98;12668544;129271;272.965
Gorgias;Male;-483;Sicily;Italy;Europe;Philosopher;Philosophy;Humanities;45;1925925;42798;272.963
Titus;Male;39;Rome;Italy;Europe;Politician;Government;Institutions;64;3229918;50467;272.917
Japheth;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;38;1325651;34886;272.905
Philip II of Spain;Male;1527;Valladolid;Spain;Europe;Politician;Government;Institutions;64;9143951;142874;272.843
Ivan IV of Russia;Male;1530;Moscow;Russia;Europe;Politician;Government;Institutions;68;8591111;126340;272.798
Émile Durkheim;Male;1858;Épinal;France;Europe;Sociologist;Social Sciences;Science & Technology;70;12211487;174450;272.728
Auguste Comte;Male;1798;Montpellier;France;Europe;Philosopher;Philosophy;Humanities;65;8720399;134160;272.711
Michel Foucault;Male;1926;Poitiers;France;Europe;Philosopher;Philosophy;Humanities;69;14960062;216812;272.686
Louis Armstrong;Male;1901;New Orleans;United States;North America;Musician;Music;Arts;93;15996740;172008;272.668
Carl Jung;Male;1875;Kesswil;Switzerland;Europe;Psychologist;Social Sciences;Science & Technology;72;16188973;224847;272.662
Édouard Manet;Male;1832;Paris;France;Europe;Painter;Fine Arts;Arts;73;8384779;114860;272.565
Stephen King;Male;1947;Portland;United States;North America;Writer;Language;Humanities;75;29793908;397252;272.493
Stendhal;Male;1783;Grenoble;France;Europe;Writer;Language;Humanities;59;5697235;96563;27.249
Giacomo Puccini;Male;1858;Lucca;Italy;Europe;Composer;Music;Arts;88;6161741;70020;272.458
Al Pacino;Male;1940;New York;United States;North America;Actor;Film And Theatre;Arts;73;30515316;418018;272.442
Josip Broz Tito;Male;1892;Kumrovec;Croatia;Europe;Politician;Government;Institutions;74;9131524;123399;272.415
Louis the Pious;Male;778;Poitiers;France;Europe;Politician;Government;Institutions;56;2347018;41911;272.384
Khafra;Male;-2600;Other;Unknown;Unknown;Politician;Government;Institutions;43;1257289;29239;272.364
Marlene Dietrich;Female;1901;Schöneberg;Germany;Europe;Actor;Film And Theatre;Arts;114;9348297;82003;272.298
Aristarchus of Samos;Male;-310;Samos Island;Greece;Europe;Astronomer;Natural Sciences;Science & Technology;53;2371770;44750;272.296
Gustav Mahler;Male;1860;Kaliště;Czech Republic;Europe;Composer;Music;Arts;76;7499603;98679;272.288
Pablo Neruda;Male;1904;Parral;Chile;South America;Writer;Language;Humanities;95;15642095;164654;272.282
Ronald Reagan;Male;1911;Tampico;United States;North America;Politician;Government;Institutions;107;35787293;334461;272.281
Isaac Asimov;Male;1920;Petrovichi;Russia;Europe;Writer;Language;Humanities;89;12760596;143377;272.274
Eugène Delacroix;Male;1798;Saint-Maurice-en-Chalencon;France;Europe;Artist;Fine Arts;Arts;69;7229231;104771;272.241
Mary I of England;Female;1516;London;United Kingdom;Europe;Politician;Government;Institutions;61;17081710;280028;272.237
Luke the Evangelist;Male;31;Antakya;Turkey;Asia;Religious Figure;Religion;Institutions;57;2983370;52340;272.214
Franz Kafka;Male;1883;Prague;Czech Republic;Europe;Writer;Language;Humanities;120;23538969;196158;272.208
Hirohito;Male;1901;Tokyo;Japan;Asia;Politician;Government;Institutions;93;12818502;137833;272.207
Origen;Male;182;Egypt;Egypt;Africa;Philosopher;Philosophy;Humanities;49;2881851;58813;272.169
Xenophanes;Male;-570;Colophon;Turkey;Asia;Philosopher;Philosophy;Humanities;55;1375105;25002;272.133
Mencius;Male;-372;Shandong;China;Asia;Philosopher;Philosophy;Humanities;44;2120530;48194;272.131
Rachel;Female;-3500;Paddan Aram;Iraq;Asia;Religious Figure;Religion;Institutions;36;2962282;82286;272.099
Erwin Rommel;Male;1891;Heidenheim an der Brenz;Germany;Europe;Military Personnel;Military;Institutions;68;13916625;204656;272.092
Hokusai;Male;1760;Tokyo;Japan;Asia;Artist;Fine Arts;Arts;104;4936268;47464;27.207
Abu Bakr;Male;573;Mecca;Saudi Arabia;Asia;Religious Figure;Religion;Institutions;78;3940269;50516;27.204
Karl Popper;Male;1902;Vienna;Austria;Europe;Philosopher;Philosophy;Humanities;63;7906095;125494;271.955
Maximilien Robespierre;Male;1758;Arras;France;Europe;Politician;Government;Institutions;67;7014504;104694;271.949
Arthur Conan Doyle;Male;1859;Edinburgh;United Kingdom;Europe;Writer;Language;Humanities;90;11410788;126787;271.892
Tertullian;Male;160;Alexandria;Egypt;Africa;Philosopher;Philosophy;Humanities;48;2430126;50628;271.874
Ramesses I;Male;-1300;Other;Unknown;Unknown;Politician;Government;Institutions;37;1355776;36643;271.866
Woody Allen;Male;1935;New York;United States;North America;Film Director;Film And Theatre;Arts;77;27097646;351917;271.811
Alfred Hitchcock;Male;1899;Leytonstone;United Kingdom;Europe;Film Director;Film And Theatre;Arts;100;23216701;232167;27.176
Frank Lloyd Wright;Male;1867;Richland Center;United States;North America;Architect;Design;Arts;95;12925601;136059;271.738
Frank Sinatra;Male;1915;Hoboken;United States;North America;Singer;Music;Arts;74;27388225;370111;271.731
Nikolai Gogol;Male;1809;Velyki Sorochyntsi;Ukraine;Europe;Writer;Language;Humanities;70;6311370;90162;271.709
Michel de Montaigne;Male;1533;Château de Montaigne;France;Europe;Philosopher;Philosophy;Humanities;59;5406587;91637;271.701
Jan van Eyck;Male;1395;Maaseik;Belgium;Europe;Painter;Fine Arts;Arts;55;4462529;81137;271.685
Rosa Luxemburg;Female;1871;Zamość;Poland;Europe;Social Activist;Activism;Public Figure;97;5745054;59227;271.616
Audrey Hepburn;Female;1929;Ixelles;Belgium;Europe;Actor;Film And Theatre;Arts;80;34983096;437289;271.613
Coco Chanel;Female;1883;Saumur;France;Europe;Fashion Designer;Design;Arts;57;20727593;363642;271.606
Robert Alexander Schumann;Male;1810;Zwickau;Germany;Europe;Composer;Music;Arts;76;8565063;112698;271.574
Dmitri Mendeleev;Male;1834;Tobolsk;Russia;Europe;Chemist;Natural Sciences;Science & Technology;109;8276448;75931;271.571
Frederick I, Holy Roman Emperor;Male;1122;Weingarten;Germany;Europe;Politician;Government;Institutions;63;2523074;40049;271.522
Tokugawa Ieyasu;Male;1543;Okazaki;Japan;Asia;Military Personnel;Military;Institutions;48;10787849;224747;271.452
Pyotr Ilyich Tchaikovsky;Male;1840;Votkinsk;Russia;Europe;Composer;Music;Arts;107;16458359;153816;271.449
Valerian;Male;200;Other;Unknown;Unknown;Politician;Government;Institutions;47;771977;16425;271.442
Franz Schubert;Male;1797;Alsergrund;Austria;Europe;Composer;Music;Arts;91;12991222;142761;271.438
Simón Bolívar;Male;1783;Caracas;Venezuela;South America;Politician;Government;Institutions;112;19164374;171110;271.433
Pliny the Younger;Male;61;Como;Italy;Europe;Writer;Language;Humanities;49;2046422;41764;271.431
Jean de La Fontaine;Male;1621;Château-Thierry;France;Europe;Writer;Language;Humanities;58;8808561;151872;27.143
Pope Gregory I;Male;540;Rome;Italy;Europe;Religious Figure;Religion;Institutions;70;2978839;42555;271.421
Seti I;Male;-1300;Other;Unknown;Unknown;Politician;Government;Institutions;42;1848362;44009;271.412
John of England;Male;1166;Oxford;United Kingdom;Europe;Politician;Government;Institutions;56;2897309;51738;271.347
Epictetus;Male;55;Hierapolis;Turkey;Asia;Philosopher;Philosophy;Humanities;45;2467794;54840;271.311
Jean Piaget;Male;1896;Neuchâtel;Switzerland;Europe;Psychologist;Social Sciences;Science & Technology;56;17393493;310598;271.283
Saint Nicholas;Male;270;Patara;Turkey;Asia;Religious Figure;Religion;Institutions;68;12656497;186125;271.252
Clint Eastwood;Male;1930;San Francisco-Bay Area;United States;North America;Actor;Film And Theatre;Arts;75;38171082;508948;271.234
Saint Joseph;Male;-90;Bethlehem;Palestine;Asia;Religious Figure;Religion;Institutions;57;6005078;105352;271.229
John Forbes Nash;Male;1928;Bluefield;United States;North America;Mathematician;Math;Science & Technology;57;7683851;134804;271.216
Aurelian;Male;214;Serdica;Bulgaria;Europe;Politician;Government;Institutions;62;1575049;25404;271.173
George Gordon Noel Byron, 6th Baron Byron;Male;1788;London;United Kingdom;Europe;Writer;Language;Humanities;99;8744028;88324;27.115
Numa Pompilius;Male;-753;Other;Unknown;Unknown;Politician;Government;Institutions;41;1185185;28907;271.119
Antoine Lavoisier;Male;1743;Paris;France;Europe;Chemist;Natural Sciences;Science & Technology;75;9451201;126016;271.117
Zheng He;Male;1371;Yunnan;China;Asia;Explorer;Explorers;Exploration;106;4143169;39087;271.114
Maria Theresa of Austria;Female;1717;Vienna;Austria;Europe;Politician;Government;Institutions;54;6645217;123060;271.097
Claudio Monteverdi;Male;1567;Cremona;Italy;Europe;Composer;Music;Arts;57;3672277;64426;271.067
Anne Frank;Female;1929;Frankfurt;Germany;Europe;Writer;Language;Humanities;77;26806636;348138;271.032
Paul McCartney;Male;1942;Liverpool;United Kingdom;Europe;Musician;Music;Arts;88;33759450;383630;270.985
Catherine of Aragon;Female;1485;Alcalá de Henares;Spain;Europe;Companion;Companions;Public Figure;51;10584908;207547;270.955
Agatha Christie;Female;1890;Torquay;United Kingdom;Europe;Writer;Language;Humanities;91;19500789;214294;270.901
El Cid;Male;1040;Burgos;Spain;Europe;Nobleman;Government;Institutions;53;5627646;106182;27.085
Maurice Ravel;Male;1875;Ciboure;France;Europe;Composer;Music;Arts;61;6871143;112642;27.084
Niccolò Paganini;Male;1782;Genoa;Italy;Europe;Musician;Music;Arts;64;5298435;82788;27.081
Simone de Beauvoir;Female;1908;Paris;France;Europe;Writer;Language;Humanities;85;8392003;98729;270.786
Wilhelm II;Male;1859;Berlin;Germany;Europe;Politician;Government;Institutions;80;3204600;40058;27.074
Franz Liszt;Male;1811;Raiding;Austria;Europe;Musician;Music;Arts;72;10862009;150861;270.739
Louis XV of France;Male;1710;Paris;France;Europe;Politician;Government;Institutions;60;7501495;125025;270.607
Mark the Evangelist;Male;1;Shahhat;Libya;Africa;Religious Figure;Religion;Institutions;59;2542735;43097;270.547
Jovian;Male;331;Singidunum;Serbia;Europe;Politician;Government;Institutions;47;494971;10531;270.546
Alcibiades;Male;-450;Athens;Greece;Europe;Politician;Government;Institutions;42;1986688;47302;270.543
Nelson Mandela;Male;1918;Mvezo;South Africa;Africa;Social Activist;Activism;Public Figure;133;67714052;509128;270.542
Wilhelm Conrad Röntgen;Male;1845;Remscheid;Germany;Europe;Physicist;Natural Sciences;Science & Technology;101;4352439;43093;270.509
Mehmed II;Male;1429;Edirne;Turkey;Asia;Politician;Government;Institutions;72;5884496;81729;270.505
Emperor Jimmu;Male;-711;Kyushu;Japan;Asia;Politician;Government;Institutions;40;3709658;92741;27.048
John Dalton;Male;1766;Eaglesfield;United Kingdom;Europe;Chemist;Natural Sciences;Science & Technology;72;11134146;154641;270.386
Nikita Khrushchev;Male;1894;Kalinovka;Russia;Europe;Politician;Government;Institutions;86;11342575;131890;270.368
Maimonides;Male;1135;Córdoba;Spain;Europe;Religious Figure;Religion;Institutions;57;4272875;74963;270.357
Constantius Chlorus;Male;250;Dardani;Kosovo;Europe;Politician;Government;Institutions;57;975238;17109;270.313
Luciano Pavarotti;Male;1935;Modena;Italy;Europe;Singer;Music;Arts;78;9663014;123885;270.306
Al Capone;Male;1899;New York;United States;North America;Mafioso;Outlaws;Public Figure;62;30453235;491181;270.301
Isidore of Seville;Male;560;Cartagena;Spain;Europe;Philosopher;Philosophy;Humanities;50;1789585;35792;270.254
Edgar Degas;Male;1834;Paris;France;Europe;Painter;Fine Arts;Arts;69;8607934;124753;270.191
Stephen Hawking;Male;1942;Oxford;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;84;48854549;581602;270.191
Richard Nixon;Male;1913;Los Angeles;United States;North America;Politician;Government;Institutions;103;27325221;265293;270.141
Florence Nightingale;Female;1820;Florence;Italy;Europe;Physician;Medicine;Science & Technology;81;12183178;150410;270.094
Anselm of Canterbury;Male;1033;Aosta;Italy;Europe;Religious Figure;Religion;Institutions;53;2483911;46866;270.048
Christiaan Huygens;Male;1629;The Hague;Netherlands;Europe;Physicist;Natural Sciences;Science & Technology;76;2898636;38140;270.038
Lot;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;44;1093210;24846;270.033
Giuseppe Garibaldi;Male;1807;Nice;France;Europe;Politician;Government;Institutions;78;8267779;105997;26.999
Edvard Grieg;Male;1843;Bergen;Norway;Europe;Composer;Music;Arts;66;4932411;74734;269.983
Sarah;Female;-1500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;37;3352644;90612;269.967
Dido;Female;-840;Phnom Penh;Lebanon;Asia;Politician;Government;Institutions;35;1482119;42346;269.951
Samson;Male;-1100;Zorah;Israel;Asia;Religious Figure;Religion;Institutions;38;6162694;162176;269.947
Theodoric the Great;Male;454;Carnuntum;Austria;Europe;Politician;Government;Institutions;47;1391103;29598;269.921
Gallienus;Male;218;Other;Italy;Europe;Politician;Government;Institutions;49;1001951;20448;269.885
Ibn Khaldun;Male;1332;Tunis;Tunisia;Africa;Historian;History;Humanities;83;4497412;54186;269.884
Shem;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;38;1623581;42726;269.857
Hildegard of Bingen;Female;1098;Bermersheim vor der Höhe;Germany;Europe;Religious Figure;Religion;Institutions;60;4978704;82978;269.835
Mata Hari;Female;1876;Leeuwarden;Netherlands;Europe;Dancer;Dance;Arts;61;9931778;162816;269.822
Robert De Niro;Male;1943;New York;United States;North America;Actor;Film And Theatre;Arts;82;31396706;382887;269.819
Croesus;Male;-595;Other;Unknown;Unknown;Politician;Government;Institutions;42;1990152;47385;269.736
Umberto Eco;Male;1932;Alessandria;Italy;Europe;Writer;Language;Humanities;74;7477228;101044;269.693
Zeno of Citium;Male;-334;Larnaca;Cyprus;Asia;Philosopher;Philosophy;Humanities;47;1417320;30156;26.963
Samuel Beckett;Male;1906;Foxrock;Ireland;Europe;Writer;Language;Humanities;82;8028327;97906;269.624
Jack Nicholson;Male;1937;Neptune City;United States;North America;Actor;Film And Theatre;Arts;78;24238521;310750;269.609
Liu Bei;Male;161;Zhuozhou;China;Asia;Politician;Government;Institutions;28;5056509;180590;269.575
John Chrysostom;Male;347;Antioch;Turkey;Asia;Religious Figure;Religion;Institutions;54;2319229;42949;269.551
James Clerk Maxwell;Male;1831;Edinburgh;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;96;6688431;69671;269.468
Amenhotep III;Male;-1388;Other;Unknown;Unknown;Politician;Government;Institutions;45;1605312;35674;269.426
Fu Hsi;Male;-2900;Chengji;China;Asia;Politician;Government;Institutions;32;1289617;40301;269.419
George Bernard Shaw;Male;1856;Dublin;Ireland;Europe;Writer;Language;Humanities;92;8930574;97071;269.408
Jack London;Male;1876;San Francisco-Bay Area;United States;North America;Writer;Language;Humanities;68;8933450;131374;269.396
Arnold Schwarzenegger;Male;1947;Thal;Austria;Europe;Actor;Film And Theatre;Arts;87;54504491;626488;269.371
Ernest Rutherford;Male;1871;Brightwater;New Zealand;Oceania;Chemist;Natural Sciences;Science & Technology;97;9311444;95994;269.284
Louis XIII of France;Male;1601;Paris;France;Europe;Politician;Government;Institutions;61;5089394;83433;26.928
Saul the King;Male;-1079;Gibeah;Jordan;Asia;Religious Figure;Religion;Institutions;47;3113531;66245;269.245
Yellow Emperor;Male;-2700;Zhengzhou;China;Asia;Politician;Government;Institutions;39;1582199;40569;269.237
Jonathan Swift;Male;1667;Dublin;Ireland;Europe;Writer;Language;Humanities;73;5527412;75718;269.233
Alexander von Humboldt;Male;1769;Berlin;Germany;Europe;Geographer;Social Sciences;Science & Technology;72;5689119;79016;269.229
Alexander Graham Bell;Male;1847;Edinburgh;United Kingdom;Europe;Inventor;Invention;Science & Technology;94;18989520;202016;269.228
Tycho Brahe;Male;1546;Scania;Sweden;Europe;Astronomer;Natural Sciences;Science & Technology;83;5741952;69180;269.216
Levi;Male;-1950;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;34;1474865;43378;269.195
Philip IV of France;Male;1268;Paris;France;Europe;Politician;Government;Institutions;56;2825474;50455;269.148
Catherine de' Medici;Female;1519;Florence;Italy;Europe;Companion;Companions;Public Figure;55;4902210;89131;269.146
John Stuart Mill;Male;1806;Pentonville;United Kingdom;Europe;Economist;Social Sciences;Science & Technology;62;9040659;145817;269.118
Terence;Male;-195;Tunis;Tunisia;Africa;Writer;Language;Humanities;47;1608275;34219;269.099
Hector Berlioz;Male;1803;La Côte-Saint-André;France;Europe;Composer;Music;Arts;84;3803358;45278;269.059
Jane Austen;Female;1775;Steventon;United Kingdom;Europe;Writer;Language;Humanities;84;22946034;273167;26.904
J. R. R. Tolkien;Male;1892;Bloemfontein;South Africa;Africa;Writer;Language;Humanities;110;21230098;193001;269.024
Edvard Munch;Male;1863;Ådalsbruk;Norway;Europe;Painter;Fine Arts;Arts;73;10394698;142393;268.975
Jean Auguste Dominique Ingres;Male;1780;Montauban;France;Europe;Painter;Fine Arts;Arts;114;3081432;27030;268.942
Eric Clapton;Male;1945;Ripley;United Kingdom;Europe;Musician;Music;Arts;65;23996621;369179;268.921
Roald Amundsen;Male;1872;Ostfold;Norway;Europe;Explorer;Explorers;Exploration;118;4950547;41954;268.888
Alexander Fleming;Male;1881;Lochfield;United Kingdom;Europe;Biologist;Natural Sciences;Science & Technology;81;9383477;115845;268.821
Praxiteles;Male;-400;Athens;Greece;Europe;Sculptor;Fine Arts;Arts;39;1323351;33932;268.778
Isaiah;Male;-800;Kingdom of Judah;Israel;Asia;Religious Figure;Religion;Institutions;43;3472589;80758;268.759
Charles Dickens;Male;1812;Portsmouth;United Kingdom;Europe;Writer;Language;Humanities;115;28353630;246553;268.722
Louis IX of France;Male;1214;Poissy;France;Europe;Politician;Government;Institutions;60;3445385;57423;268.694
Ambrose;Male;337;Trier;Germany;Europe;Religious Figure;Religion;Institutions;55;2483720;45159;268.685
Charles Perrault;Male;1628;Paris;France;Europe;Writer;Language;Humanities;57;4929677;86486;268.643
Jalal ad-Din Muhammad Rumi;Male;1207;Vakhsh;Tajikistan;Asia;Writer;Language;Humanities;68;7135443;104933;268.629
Macrinus;Male;165;Cherchell;Algeria;Africa;Politician;Government;Institutions;50;993642;19873;268.622
Apuleius;Male;120;Madaurus;Algeria;Africa;Writer;Language;Humanities;48;1349270;28110;268.552
Enrico Fermi;Male;1901;Rome;Italy;Europe;Physicist;Natural Sciences;Science & Technology;100;4846538;48465;268.516
John von Neumann;Male;1903;Budapest;Hungary;Europe;Mathematician;Math;Science & Technology;69;7367770;106779;268.433
Heinrich Heine;Male;1797;Düsseldorf;Germany;Europe;Writer;Language;Humanities;60;5179867;86331;26.843
Theophrastus;Male;-371;Eresos;Greece;Europe;Philosopher;Philosophy;Humanities;53;1367522;25802;268.424
Astrid Lindgren;Female;1907;Vimmerby;Sweden;Europe;Writer;Language;Humanities;62;5754189;92810;268.344
Honorius;Male;384;Istanbul;Turkey;Asia;Politician;Government;Institutions;52;460470;8855;268.332
Silvio Berlusconi;Male;1936;Milan;Italy;Europe;Politician;Government;Institutions;103;20366592;197734;268.315
Godfrey of Bouillon;Male;1060;Boulogne-sur-Mer;France;Europe;Politician;Government;Institutions;41;2194380;53521;268.301
Pol Pot;Male;1925;Prek Sbauv;Cambodia;Asia;Politician;Government;Institutions;76;11681078;153698;268.281
Alaric I;Male;370;Peuce Island;Romania;Europe;Politician;Government;Institutions;52;1811757;34841;268.254
Noam Chomsky;Male;1928;Philadelphia;United States;North America;Linguist;Language;Humanities;97;15758813;162462;268.242
Jacques-Louis David;Male;1748;Paris;France;Europe;Painter;Fine Arts;Arts;62;5674501;91524;268.218
Constantius II;Male;317;Sirmium;Serbia;Europe;Politician;Government;Institutions;52;1206688;23206;268.183
Ignatius of Loyola;Male;1491;Azpeitia;Spain;Europe;Religious Figure;Religion;Institutions;67;5560397;82991;268.165
Leonid Brezhnev;Male;1906;Dniprodzerzhynsk;Ukraine;Europe;Politician;Government;Institutions;76;7293899;95972;268.163
Elizabeth Báthory;Female;1560;Nyírbátor;Hungary;Europe;Extremist;Outlaws;Public Figure;47;9693812;206251;268.156
Jim Morrison;Male;1943;Melbourne;United States;North America;Singer;Music;Arts;64;27417278;428395;268.099
Antoni Gaudí;Male;1852;Reus;Spain;Europe;Architect;Design;Arts;75;17401891;232025;26.809
Felix Mendelssohn-Bartholdy;Male;1809;Hamburg;Germany;Europe;Composer;Music;Arts;68;7394504;108743;268.069
William the Conqueror;Male;1027;Falaise;France;Europe;Nobleman;Government;Institutions;79;7178525;90867;268.067
Arius;Male;256;Libya;Libya;Africa;Philosopher;Philosophy;Humanities;46;1700201;36961;267.944
Jules Verne;Male;1828;Nantes;France;Europe;Writer;Language;Humanities;96;22914095;238688;267.935
Decius;Male;201;Martinci;Serbia;Europe;Politician;Government;Institutions;50;1103190;22064;267.927
Robert Koch;Male;1843;Clausthal-Zellerfeld;Germany;Europe;Physician;Medicine;Science & Technology;81;4562843;56331;267.927
Johann Pachelbel;Male;1653;Nuremberg;Germany;Europe;Composer;Music;Arts;43;3946476;91779;267.922
Robert Hooke;Male;1635;Freshwater;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;65;8134624;125148;267.904
Boris Yeltsin;Male;1931;Butka;Russia;Europe;Politician;Government;Institutions;91;7336570;80622;267.877
Ray Charles;Male;1930;Albany;United States;North America;Musician;Music;Arts;66;16687029;252834;267.861
Petronius;Male;27;Marseille;France;Europe;Writer;Language;Humanities;40;1475408;36885;267.831
Arminius;Male;-18;Germania;Germany;Europe;Military Personnel;Military;Institutions;52;1994932;38364;267.814
Bernard of Clairvaux;Male;1090;Fontaine-lès-Dijon;France;Europe;Religious Figure;Religion;Institutions;42;2766603;65872;267.805
Gaius Maecenas;Male;-70;Arezzo;Italy;Europe;Public Worker;Government;Institutions;35;1296154;37033;267.793
Charles the Bald, Holy Roman Emperor;Male;823;Frankfurt;Germany;Europe;Politician;Government;Institutions;59;1723220;29207;267.739
André-Marie Ampère;Male;1775;Lyon;France;Europe;Physicist;Natural Sciences;Science & Technology;76;3458682;45509;267.728
Henri Bergson;Male;1859;Paris;France;Europe;Philosopher;Philosophy;Humanities;70;3634011;51914;267.625
Chiang Kai-shek;Male;1887;Xikou;China;Asia;Military Personnel;Military;Institutions;72;9605466;133409;267.622
Richard Strauss;Male;1864;Munich;Germany;Europe;Composer;Music;Arts;58;5514260;95073;267.597
Lewis Carroll;Male;1832;Daresbury;United Kingdom;Europe;Writer;Language;Humanities;79;12072884;152821;267.581
Ferdinand de Saussure;Male;1857;Geneva;Switzerland;Europe;Linguist;Language;Humanities;66;4656397;70551;267.581
Chuck Norris;Male;1940;Ryan;United States;North America;Actor;Film And Theatre;Arts;64;39583094;618486;267.567
Albertus Magnus;Male;1193;Lauingen;Germany;Europe;Religious Figure;Religion;Institutions;57;2278838;39980;267.535
Leucippus;Male;-500;Abdera;Greece;Europe;Philosopher;Philosophy;Humanities;50;1814193;36284;267.522
Aleister Crowley;Male;1875;Royal Leamington Spa;United Kingdom;Europe;Religious Figure;Religion;Institutions;47;15560425;331073;267.458
Evangelista Torricelli;Male;1608;Faenza;Italy;Europe;Physicist;Natural Sciences;Science & Technology;57;2668803;46821;267.452
Rudolf Steiner;Male;1861;Donji Kraljevec;Croatia;Europe;Philosopher;Philosophy;Humanities;47;5752799;122400;267.439
Masaccio;Male;1401;San Giovanni Valdarno;Italy;Europe;Painter;Fine Arts;Arts;48;3069668;63951;267.438
Hatshepsut;Female;-1508;Other;Egypt;Africa;Politician;Government;Institutions;57;5409146;94897;267.436
Nefertari;Female;-1290;Other;Egypt;Africa;Companion;Companions;Public Figure;33;1855245;56220;267.417
Josef Mengele;Male;1911;Günzburg;Germany;Europe;Physician;Medicine;Science & Technology;48;18767044;390980;267.408
Melchizedek;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;32;2804742;87648;267.387
Menander;Male;-342;Athens;Greece;Europe;Writer;Language;Humanities;44;1103244;25074;267.386
Pope Clement I;Male;1;Rome;Italy;Europe;Religious Figure;Religion;Institutions;72;1640457;22784;267.386
Filippo Brunelleschi;Male;1377;Florence;Italy;Europe;Architect;Design;Arts;47;4485693;95440;267.371
Ashoka;Male;-304;Patna;India;Asia;Politician;Government;Institutions;89;5148177;57845;267.367
George Harrison;Male;1943;Liverpool;United Kingdom;Europe;Musician;Music;Arts;78;25394395;325569;26.735
Andrea Palladio;Male;1508;Padua;Italy;Europe;Architect;Design;Arts;46;3053706;66385;267.303
Horemheb;Male;-1350;Other;Unknown;Unknown;Politician;Government;Institutions;38;943695;24834;267.293
Harry S. Truman;Male;1884;Lamar;United States;North America;Politician;Government;Institutions;100;16028484;160285;267.264
Draco;Male;-650;Other;Unknown;Unknown;Public Worker;Government;Institutions;33;1290329;39101;267.247
Maxim Gorky;Male;1868;Nizhny Novgorod;Russia;Europe;Writer;Language;Humanities;83;5381101;64833;267.242
Virginia Woolf;Female;1882;London;United Kingdom;Europe;Writer;Language;Humanities;74;11988375;162005;267.224
Quintilian;Male;35;Calahorra;Spain;Europe;Writer;Language;Humanities;37;1406518;38014;267.198
Roger Bacon;Male;1214;Ilchester;United Kingdom;Europe;Philosopher;Philosophy;Humanities;48;2421713;50452;267.188
